AKDT, Max TemperatureF, Mean TemperatureF, Min TemperatureF,Max Dew PointF, MeanDew PointF
2014-7-1,64,22,33,44,55
2014-7-2,71,22,33,44,55
2014-7-3,64,22,33,44,55
2014-7-4,59,22,33,44,55
2014-7-5,69,22,33,44,55
2014-7-6,62,22,33,44,55
2014-7-7,61,22,33,44,55
2014-7-8,55,22,33,44,55
2014-7-9,57,22,33,44,55
2014-7-10,61,22,33,44,55
2014-7-11,57,22,33,44,55
2014-7-12,59,22,33,44,55
2014-7-13,57,22,33,44,55
2014-7-14,61,22,33,44,55
2014-7-15,64,22,33,44,55
2014-7-16,61,22,33,44,55
2014-7-17,59,22,33,44,55
2014-7-18,63,22,33,44,55
2014-7-19,60,22,33,44,55
2014-7-20,57,22,33,44,55
